Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CareerStartAge,CompanyCareerRatio,CurrentRoleCompanyRatio,ManagerCompanyRatio,PromotionLagCompanyRatio,SatisfactionAverage,LogMonthlyIncome,IncomePerJobLevel,OverTimeJobInvolvement
35,0,Travel_Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,No,13,3,3,1,6,5,3,5,4,0,3,29,0.8333333333333334,0.8,0.6,0.0,2.0,7.794411205726601,2426.0,0
29,0,Travel_Rarely,153,Research & Development,15,2,Life Sciences,15,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,Yes,12,3,4,0,10,3,3,9,5,0,8,19,0.9,0.5555555555555556,0.8888888888888888,0.0,3.6666666666666665,8.341410211461865,2096.5,2
31,0,Travel_Rarely,670,Research & Development,26,1,Life Sciences,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,No,17,3,4,1,5,1,2,5,2,4,3,26,1.0,0.4,0.6,0.8,2.6666666666666665,7.976595409316577,2911.0,0
34,0,Travel_Rarely,1346,Research & Development,19,2,Medical,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,No,11,3,3,1,3,2,3,2,2,1,2,31,0.6666666666666666,1.0,1.0,0.5,3.0,7.8868329989550565,2661.0,0
28,1,Travel_Rarely,103,Research & Development,24,3,Life Sciences,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Yes,14,3,2,0,6,4,3,4,2,0,3,22,0.6666666666666666,0.5,0.75,0.0,2.6666666666666665,7.615298339825815,2028.0,2
29,0,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,No,11,3,3,1,10,1,3,10,9,8,8,19,1.0,0.9,0.8,0.8,2.0,9.208438564686587,3326.6666666666665,0
32,0,Travel_Rarely,334,Research & Development,5,2,Life Sciences,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Yes,12,3,4,2,7,5,2,6,2,0,5,25,0.8571428571428571,0.3333333333333333,0.8333333333333334,0.0,2.3333333333333335,8.101374671228582,3298.0,4
22,0,Non-Travel,1123,Research & Development,16,2,Medical,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0,21,1.0,0.0,0.0,0.0,3.3333333333333335,7.984803389734406,2935.0,4
53,0,Travel_Rarely,1219,Sales,2,4,Life Sciences,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,No,16,3,3,0,31,3,3,25,8,3,7,22,0.8064516129032258,0.32,0.28,0.12,2.6666666666666665,9.643939319328119,3856.75,0
38,0,Travel_Rarely,371,Research & Development,2,3,Life Sciences,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Yes,11,3,3,0,6,3,3,3,2,1,2,32,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,3.6666666666666665,8.280204233279974,3944.0,3
24,0,Non-Travel,673,Research & Development,11,2,Other,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,No,18,3,4,1,5,5,2,4,2,1,3,19,0.8,0.5,0.75,0.25,2.6666666666666665,8.297045149081827,2005.5,0
36,1,Travel_Rarely,1218,Sales,9,4,Life Sciences,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,No,23,4,2,0,10,4,3,5,3,0,3,26,0.5,0.6,0.6,0.0,2.0,8.133880887949207,3407.0,0
34,0,Travel_Rarely,419,Research & Development,7,4,Life Sciences,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,No,11,3,3,0,13,4,3,12,6,2,11,21,0.9230769230769231,0.5,0.9166666666666666,0.16666666666666666,2.0,9.392245175273795,3998.0,0
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,No,14,3,4,0,0,6,3,0,0,0,0,21,0.0,0.0,0.0,0.0,3.6666666666666665,7.117205503164344,1232.0,0
34,1,Travel_Rarely,699,Research & Development,6,1,Medical,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,No,11,3,3,0,8,2,3,4,2,1,3,26,0.5,0.5,0.75,0.25,2.0,7.993282328101591,2960.0,0
53,0,Travel_Rarely,1282,Research & Development,5,3,Other,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,No,11,3,4,1,26,3,2,14,13,4,8,27,0.5384615384615384,0.9285714285714286,0.5714285714285714,0.2857142857142857,3.3333333333333335,9.857181799659617,3818.8,0
32,1,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Yes,22,4,2,0,10,5,3,10,2,6,7,22,1.0,0.2,0.7,0.6,1.6666666666666667,8.273846932784508,3919.0,1
42,0,Travel_Rarely,691,Sales,8,4,Marketing,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,No,11,3,4,1,10,2,3,9,7,4,2,32,0.9,0.7777777777777778,0.2222222222222222,0.4444444444444444,3.0,8.828494129466652,3412.5,0
44,0,Travel_Rarely,477,Research & Development,7,4,Medical,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,No,14,3,4,1,24,4,3,22,6,5,17,20,0.9166666666666666,0.2727272727272727,0.7727272727272727,0.22727272727272727,3.0,9.234935418831563,3416.0,0
46,0,Travel_Rarely,705,Sales,2,4,Marketing,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,No,12,3,4,0,22,2,2,2,2,2,1,24,0.09090909090909091,1.0,0.5,1.0,2.3333333333333335,9.849453664043642,3789.4,0
33,0,Travel_Rarely,924,Research & Development,2,3,Medical,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,No,11,3,4,0,7,3,3,1,1,0,0,26,0.14285714285714285,1.0,0.0,0.0,3.6666666666666665,7.822845290279774,2496.0,0
44,0,Travel_Rarely,1459,Research & Development,10,4,Other,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Yes,13,3,4,0,9,5,4,4,2,1,3,35,0.4444444444444444,0.5,0.75,0.25,4.0,8.774312958285378,3232.5,3
30,0,Travel_Rarely,125,Research & Development,9,2,Medical,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,No,13,3,1,0,10,5,3,10,0,1,8,20,1.0,0.0,0.8,0.1,2.6666666666666665,7.699389406256737,2206.0,0
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,No,14,3,3,1,19,6,4,1,0,0,0,20,0.05263157894736842,0.0,0.0,0.0,3.6666666666666665,7.643482907077201,1043.0,0
24,1,Travel_Rarely,813,Research & Development,1,3,Medical,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0,18,0.3333333333333333,0.0,0.0,1.0,2.3333333333333335,7.738052297689316,2293.0,3
43,0,Travel_Rarely,1273,Research & Development,2,2,Medical,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,No,12,3,4,2,6,3,2,5,3,1,4,37,0.8333333333333334,0.6,0.8,0.2,3.6666666666666665,7.880804344674901,2645.0,0
50,1,Travel_Rarely,869,Sales,3,2,Marketing,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Yes,14,3,3,0,3,2,3,3,2,0,2,47,1.0,0.6666666666666666,0.6666666666666666,0.0,2.3333333333333335,7.895063498091573,2683.0,2
35,0,Travel_Rarely,890,Sales,2,3,Marketing,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,No,13,3,1,0,2,3,3,2,2,2,2,33,1.0,1.0,1.0,1.0,3.0,7.608374474380783,2014.0,0
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Yes,14,3,4,1,6,3,4,1,1,0,0,30,0.16666666666666666,1.0,0.0,0.0,2.3333333333333335,8.13739583005665,3419.0,2
33,0,Travel_Frequently,1141,Sales,1,3,Life Sciences,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,23,0.5,0.6,0.6,0.2,1.6666666666666667,8.589885876809678,2688.0,0
35,0,Travel_Rarely,464,Research & Development,4,2,Other,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,34,1.0,0.0,0.0,0.0,3.3333333333333335,7.5766097669730375,1951.0,0
27,0,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,26,1.0,0.0,0.0,0.0,3.0,7.758760544157663,2341.0,0
26,1,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,25,1.0,0.0,1.0,0.0,2.3333333333333335,7.738052297689316,2293.0,0
27,0,Travel_Frequently,994,Sales,8,3,Life Sciences,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,18,1.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,3.6666666666666665,9.074176947163311,2908.6666666666665,0
30,0,Travel_Frequently,721,Research & Development,1,2,Medical,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,18,1.0,0.6666666666666666,0.5833333333333334,0.25,3.6666666666666665,8.297045149081827,2005.5,0
41,1,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,18,0.9565217391304348,0.6818181818181818,0.36363636363636365,0.6818181818181818,3.0,9.880525940898782,3909.0,0
34,0,Non-Travel,1065,Sales,23,4,Marketing,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,24,0.9,0.5555555555555556,0.7777777777777778,0.8888888888888888,2.6666666666666665,8.427049641563272,2284.0,0
37,0,Travel_Rarely,408,Research & Development,19,2,Life Sciences,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,29,0.125,0.0,0.0,0.0,1.6666666666666667,8.014004994779459,3022.0,0
46,0,Travel_Frequently,1211,Sales,5,4,Marketing,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,32,0.6428571428571429,0.6666666666666666,0.8888888888888888,0.0,2.6666666666666665,8.660947155060933,2886.0,3
35,0,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,34,1.0,0.0,1.0,0.0,4.0,7.727535110475448,2269.0,0
48,1,Travel_Rarely,626,Research & Development,1,2,Life Sciences,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,25,0.043478260869565216,0.0,0.0,0.0,2.6666666666666665,8.590815331286851,1793.6666666666667,2
28,1,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,26,1.0,1.0,1.0,1.0,3.0,8.143807976771484,3441.0,3
44,0,Travel_Rarely,1488,Sales,1,5,Marketing,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,35,0.4444444444444444,0.75,0.75,0.25,2.0,8.604287898267172,2727.0,3
35,0,Non-Travel,1097,Research & Development,11,2,Medical,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,25,0.4,0.0,0.75,0.5,2.3333333333333335,9.198773735604718,3294.6666666666665,2
26,0,Travel_Rarely,1443,Sales,23,3,Marketing,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,21,0.4,1.0,0.0,0.0,3.3333333333333335,8.332789468417959,2078.5,2
33,0,Travel_Frequently,515,Research & Development,1,2,Life Sciences,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,18,1.0,0.9333333333333333,0.8,0.5333333333333333,2.6666666666666665,9.507403306233716,4486.0,3
35,0,Travel_Frequently,853,Sales,18,5,Life Sciences,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,26,1.0,0.8888888888888888,0.8888888888888888,0.1111111111111111,2.3333333333333335,9.112727543109182,3023.0,0
35,0,Travel_Rarely,1142,Research & Development,23,4,Medical,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,31,0.5,1.0,1.0,1.0,2.3333333333333335,8.297792626380861,4014.0,3
31,0,Travel_Rarely,655,Research & Development,7,4,Life Sciences,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,21,0.7,1.0,1.0,0.14285714285714285,4.0,8.68541582383069,2957.5,0
37,0,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,30,1.0,0.7142857142857143,1.0,0.0,2.3333333333333335,8.69851424787661,2996.5,0
32,0,Travel_Rarely,427,Research & Development,1,3,Medical,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,23,1.0,0.8888888888888888,0.8888888888888888,0.7777777777777778,2.3333333333333335,8.726318950962243,3081.0,3
38,0,Travel_Frequently,653,Research & Development,29,5,Life Sciences,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,28,1.0,0.3,0.9,0.9,4.0,7.786136437783072,1203.0,0
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,21,0.9310344827586207,0.1111111111111111,0.2962962962962963,0.48148148148148145,3.0,9.838468916161679,3748.0,2
59,0,Travel_Rarely,1435,Sales,25,3,Life Sciences,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,31,0.75,0.7619047619047619,0.42857142857142855,0.3333333333333333,2.0,8.940891067785461,2545.6666666666665,0
36,0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,19,1.0,0.8235294117647058,0.47058823529411764,0.7058823529411765,2.6666666666666665,9.219993629004321,3365.3333333333335,0
55,0,Travel_Rarely,836,Research & Development,8,3,Medical,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,34,0.23809523809523808,0.0,0.4,0.0,3.3333333333333335,9.59947282546345,3689.0,3
36,0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,30,1.0,0.8333333333333334,0.5,0.0,2.3333333333333335,8.779557455883728,3249.5,0
45,0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,20,0.04,0.0,0.0,0.0,2.0,9.182455168486648,3241.3333333333335,0
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,30,0.6,0.6666666666666666,0.6666666666666666,0.3333333333333333,2.3333333333333335,7.693937325509272,2194.0,0
36,1,Travel_Rarely,318,Research & Development,9,3,Medical,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,34,0.5,0.0,0.0,0.0,2.6666666666666665,8.128290171607052,3388.0,2
59,0,Travel_Frequently,1225,Sales,1,1,Life Sciences,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,39,0.2,0.75,0.75,0.25,2.6666666666666665,8.607764889600624,2736.5,0
29,0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,23,0.8333333333333334,0.8,0.8,0.0,3.0,7.902487437162855,2703.0,0
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,30,1.0,1.0,0.0,1.0,2.3333333333333335,7.824845691026856,2501.0,0
32,0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,22,1.0,0.4,0.9,0.0,2.0,8.73568594451502,3110.0,0
36,0,Travel_Rarely,132,Research & Development,6,3,Life Sciences,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,31,0.2,0.0,0.0,0.0,2.6666666666666665,8.019283792916793,3038.0,0
31,0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,20,1.0,0.6363636363636364,0.7272727272727273,0.09090909090909091,3.6666666666666665,8.39502555744203,2212.0,0
35,0,Travel_Rarely,776,Sales,1,4,Marketing,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,19,0.9375,0.8666666666666667,0.5333333333333333,0.13333333333333333,2.0,8.369388996647842,2156.0,0
45,0,Travel_Rarely,193,Research & Development,6,4,Other,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,28,0.0,0.0,0.0,0.0,2.3333333333333335,9.491450899044924,4415.0,3
37,0,Travel_Rarely,397,Research & Development,7,4,Medical,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,21,0.3125,0.4,0.4,0.0,1.6666666666666667,9.522593098362169,4554.666666666667,0
46,0,Travel_Rarely,945,Human Resources,5,2,Medical,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,30,0.25,0.5,0.5,0.0,2.6666666666666665,8.52158353971753,2510.5,3
30,0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,20,1.0,0.8,0.0,0.3,3.6666666666666665,8.5422759717837,2563.0,2
35,0,Travel_Rarely,1214,Research & Development,1,3,Medical,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,29,1.0,0.6666666666666666,0.6666666666666666,0.0,2.0,7.958576903813898,2859.0,0
55,0,Travel_Rarely,111,Sales,1,2,Life Sciences,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,31,0.041666666666666664,0.0,0.0,1.0,3.0,9.234056898593499,3413.0,0
38,0,Non-Travel,573,Research & Development,6,3,Medical,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,21,0.7647058823529411,0.8461538461538461,0.6923076923076923,0.07692307692307693,3.3333333333333335,8.58110651715989,2664.5,1
34,0,Travel_Rarely,1153,Research & Development,1,2,Medical,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,29,1.0,0.4,0.6,0.2,2.0,8.372398606513004,2162.5,0
56,0,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,19,0.16216216216216217,0.6666666666666666,0.3333333333333333,0.0,3.0,8.890272839380247,2420.0,0
23,0,Travel_Rarely,541,Sales,2,1,Technical Degree,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,20,0.0,0.0,0.0,0.0,2.3333333333333335,7.750614732770409,2322.0,0
51,0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,41,0.4,0.5,0.75,0.0,3.3333333333333335,7.638198244285779,2075.0,0
30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,19,1.0,0.9090909090909091,0.7272727272727273,0.9090909090909091,2.6666666666666665,8.331586243630754,2076.0,0
46,1,Travel_Rarely,669,Sales,9,2,Medical,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,37,1.0,0.8888888888888888,0.7777777777777778,0.4444444444444444,3.6666666666666665,9.171599543659752,3206.3333333333335,0
40,0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,No,22,4,4,1,22,3,2,22,3,11,11,18,1.0,0.13636363636363635,0.5,0.5,3.0,9.510741216835738,3375.75,0
51,0,Travel_Rarely,632,Sales,21,4,Marketing,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Yes,22,4,4,0,11,2,1,10,7,1,0,40,0.9090909090909091,0.7,0.0,0.1,3.6666666666666665,8.601901919343192,2720.5,3
30,0,Travel_Rarely,1334,Sales,4,2,Medical,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Yes,12,3,2,3,11,4,2,11,8,2,7,19,1.0,0.7272727272727273,0.6363636363636364,0.18181818181818182,2.3333333333333335,8.558335134747413,2604.5,2
46,0,Travel_Frequently,638,Research & Development,1,3,Medical,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,25,0.47619047619047616,0.9,0.5,0.9,2.3333333333333335,9.27556615689389,3557.6666666666665,2
32,0,Travel_Rarely,1093,Sales,6,4,Medical,125,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,20,0.9166666666666666,0.7272727272727273,0.6363636363636364,0.45454545454545453,2.0,8.519390774959724,2505.0,0
54,0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,126,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,No,12,3,1,1,16,5,1,4,3,0,3,38,0.25,0.75,0.75,0.0,1.6666666666666667,9.514141826307847,4516.333333333333,0
24,0,Travel_Rarely,1353,Sales,3,2,Other,128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,No,21,4,1,1,4,2,2,3,2,0,2,20,0.75,0.6666666666666666,0.6666666666666666,0.0,1.6666666666666667,8.517193191416238,2499.5,0
